19	K. MBAPPÉ	中锋		巴黎圣日耳曼	法甲	法国	178	73	21	右脚	90	38	97	88	89	92	89	80	68	87	75	70	75	96	97	80	85	69	87	82	60	55	58	40	40	40	40	40	3	3	6	2	K. MBAPPÉ_中锋_90
20	K. BENZEMA	中锋		皇家马德里	西甲	法国	185	81	32	右脚	89	22	94	88	92	86	88	87	62	89	78	68	77	78	83	87	78	84	77	80	56	54	76	40	40	40	40	40	2	2	7	1	K. BENZEMA_中锋_89
21	M. NEUER	门将		拜仁慕尼黑	其它欧洲	德国	193	92	33	右脚	89	22	93	43	68	57	52	66	75	41	70	61	57	61	56	86	85	88	67	68	60	51	50	94	91	93	97	96	2	3	7	2	M. NEUER_门将_89
22	L. MODRIĆ	中前卫		皇家马德里	西甲	克罗地亚	172	66	34	右脚	89	21	94	77	92	89	86	94	89	75	60	79	82	77	85	79	62	60	91	83	71	77	70	40	40	40	40	40	2	3	7	2	L. MODRIĆ_中前卫_89
23	BUSQUETS	后腰		巴塞罗那	西甲	西班牙	189	76	31	右脚	89	23	94	72	86	81	90	92	88	62	77	66	68	70	65	73	78	83	82	87	90	87	83	40	40	40	40	40	2	2	7	2	BUSQUETS_后腰_89
24	R. STERLING	左边锋		曼城	英超	英格兰	170	69	25	右脚	89	29	95	88	86	88	93	83	78	82	60	67	75	93	96	77	65	65	92	82	57	59	58	40	40	40	40	40	2	2	7	2	R. STERLING_左边锋_89
25	EDERSON	门将		曼城	英超	巴西	188	86	26	左脚	89	26	94	40	72	71	79	74	80	44	60	60	65	70	72	89	86	84	70	60	62	45	59	94	95	97	96	93	2	2	7	3	EDERSON_门将_89
26	M. TER STEGEN	门将		巴塞罗那	西甲	德国	187	85	27	右脚	89	25	94	43	68	66	69	75	77	46	61	60	63	65	63	85	85	82	68	68	57	53	52	96	94	95	97	95	2	3	8	3	M. TER STEGEN_门将_89
27	DAVID SILVA	前腰		曼城	英超	西班牙	173	67	33	左脚	88	23	94	87	94	88	91	95	86	76	64	79	85	70	75	74	70	65	94	80	62	59	62	40	40	40	40	40	1	2	6	2	DAVID SILVA_前腰_88
28	E. CAVANI	中锋		巴黎圣日耳曼	法甲	乌拉圭	184	71	32	右脚	88	23	94	91	81	80	78	75	73	89	90	83	82	82	80	87	87	80	72	84	56	55	75	40	40	40	40	40	3	3	6	3	E. CAVANI_中锋_88
29	T. KROOS	中前卫		皇家马德里	西甲	德国	183	76	29	右脚	88	24	93	75	94	78	82	92	91	80	65	83	85	72	76	87	64	80	78	82	74	72	74	40	40	40	40	40	3	3	5	1	T. KROOS_中前卫_88
30	P. AUBAMEYANG	中锋		阿森纳	英超	加蓬	187	80	30	右脚	88	24	94	90	81	83	82	76	76	89	80	76	83	96	94	83	80	75	72	80	50	51	55	40	40	40	40	40	2	3	6	3	P. AUBAMEYANG_中锋_88
31	C. ERIKSEN	前腰			意甲	丹麦	180	71	27	右脚	88	26	94	84	91	85	88	90	89	80	62	87	84	75	78	84	60	65	85	92	58	59	61	40	40	40	40	40	2	3	7	2	C. ERIKSEN_前腰_88
32	THIAGO A.	中前卫		拜仁慕尼黑	其它欧洲	西班牙	174	70	28	右脚	88	24	93	78	90	93	90	92	87	75	61	79	89	72	80	77	75	63	89	79	58	67	65	40	40	40	40	40	2	3	7	1	THIAGO A._中前卫_88
33	P. POGBA	中前卫		曼联	英超	法国	191	84	26	右脚	88	27	93	82	88	85	80	84	88	75	76	81	84	80	73	88	81	88	71	85	66	69	80	40	40	40	40	40	2	3	6	2	P. POGBA_中前卫_88
34	N. KANTÉ	中前卫		切尔西	英超	法国	168	68	28	右脚	88	24	92	73	82	80	84	86	82	69	64	60	64	80	85	73	80	78	93	96	94	93	92	40	40	40	40	40	2	2	7	3	N. KANTÉ_中前卫_88
35	K. KOULIBALY	中后卫		那不勒斯	意甲	塞内加尔	195	89	28	右脚	88	24	93	62	74	73	64	75	69	63	88	60	54	88	78	68	87	95	71	79	92	91	90	40	40	40	40	40	2	2	6	3	K. KOULIBALY_中后卫_88
36	BERNARDO SILVA	右边锋		曼城	英超	葡萄牙	173	64	25	左脚	88	30	95	84	92	93	92	86	86	80	61	72	82	80	87	75	70	60	90	87	53	55	65	40	40	40	40	40	1	2	7	3	BERNARDO SILVA_右边锋_88
37	H. LLORIS	门将		托特纳姆热刺	英超	法国	188	78	33	左脚	87	23	90	40	61	44	46	61	66	40	68	61	45	62	57	80	82	82	66	61	47	49	52	93	91	81	98	97	1	1	6	2	H. LLORIS_门将_87
38	G. CHIELLINI	中后卫		尤文图斯	意甲	意大利	187	85	35	左脚	87	21	92	63	71	72	69	74	75	62	85	60	68	80	73	79	87	91	64	84	92	95	87	40	40	40	40	40	2	2	6	2	G. CHIELLINI_中后卫_87
39	S. HANDANOVIČ	门将			意甲	斯洛文尼亚	193	89	35	右脚	87	21	92	43	60	55	62	60	64	43	70	60	41	63	57	85	88	83	55	65	47	45	47	94	92	90	93	93	2	2	6	3	S. HANDANOVIČ_门将_87
40	D. GODÍN	中后卫			意甲	乌拉圭	187	78	33	右脚	87	23	93	64	70	67	78	76	75	64	94	65	63	72	68	77	85	88	66	85	93	90	96	40	40	40	40	40	1	1	7	2	D. GODÍN_中后卫_87
41	G. BALE	右边锋		皇家马德里	西甲	威尔士	185	82	30	左脚	87	25	93	81	86	88	83	82	77	82	78	79	81	90	88	91	83	82	83	75	51	53	57	40	40	40	40	40	1	1	5	1	G. BALE_右边锋_87
42	I. RAKITIĆ	中前卫		巴塞罗那	西甲	克罗地亚	184	78	31	右脚	87	24	92	81	87	82	80	90	92	79	68	85	88	73	70	84	66	73	82	84	69	74	73	40	40	40	40	40	2	3	6	3	I. RAKITIĆ_中前卫_87
43	Á. DI MARÍA	右边锋		巴黎圣日耳曼	法甲	阿根廷	180	75	31	左脚	87	24	93	82	87	88	90	85	88	77	60	84	88	86	89	85	63	63	86	80	50	53	65	40	40	40	40	40	1	2	7	2	Á. DI MARÍA_右边锋_87
44	M. PJANIĆ	后腰		尤文图斯	意甲	波黑	178	72	29	右脚	87	24	93	68	88	85	79	90	86	65	65	91	86	73	74	79	68	68	83	81	78	76	74	40	40	40	40	40	3	3	5	2	M. PJANIĆ_后腰_87
45	JORDI ALBA	左后卫		巴塞罗那	西甲	西班牙	170	68	30	左脚	87	25	92	82	84	80	83	82	77	73	70	67	77	92	90	70	74	67	78	87	77	82	78	40	40	40	40	40	1	1	6	1	JORDI ALBA_左后卫_87
46	A. LACAZETTE	中锋		阿森纳	英超	法国	176	77	28	右脚	87	25	92	86	87	85	87	79	68	87	74	72	76	86	83	85	75	74	85	79	46	49	70	40	40	40	40	40	2	3	5	2	A. LACAZETTE_中锋_87
47	C. IMMOBILE	中锋		拉齐奥	意甲	意大利	184	80	29	右脚	87	24	93	91	79	80	73	76	70	89	87	70	77	84	81	86	81	79	84	85	52	56	69	40	40	40	40	40	2	3	7	3	C. IMMOBILE_中锋_87
48	P. COUTINHO	左边锋		拜仁慕尼黑	其它欧洲	巴西	172	68	27	右脚	87	27	94	84	93	91	92	88	82	77	65	85	87	80	85	83	68	63	92	80	50	53	60	40	40	40	40	40	2	3	5	2	P. COUTINHO_左边锋_87
49	CASEMIRO	后腰		皇家马德里	西甲	巴西	185	84	27	右脚	87	27	92	69	80	72	75	82	81	68	81	78	71	76	75	85	84	87	76	90	84	85	87	40	40	40	40	40	1	2	6	3	CASEMIRO_后腰_87
50	SON HEUNG-MIN	左边锋		托特纳姆热刺	英超	韩国	183	79	27	右脚	87	27	94	86	85	88	85	80	78	85	65	70	83	88	91	85	65	66	85	89	48	44	70	40	40	40	40	40	3	4	7	3	SON HEUNG-MIN_左边锋_87
51	R. VARANE	中后卫		皇家马德里	西甲	法国	191	81	26	右脚	87	27	93	58	80	69	70	77	82	57	87	60	63	86	81	74	87	90	75	83	88	87	84	40	40	40	40	40	1	2	5	1	R. VARANE_中后卫_87
52	T. COURTOIS	门将		皇家马德里	西甲	比利时	199	96	27	左脚	87	27	92	40	60	43	46	60	62	44	70	60	49	62	61	76	83	88	70	60	65	57	47	91	89	90	95	95	2	2	5	1	T. COURTOIS_门将_87
53	M. REUS	前腰		自由球员	自由球员	德国	180	71	30	右脚	87	25	93	83	88	89	85	84	82	83	63	86	86	87	84	88	76	69	81	80	53	53	57	40	40	40	40	40	3	4	7	1	M. REUS_前腰_87
54	M. VERRATTI	中前卫		巴黎圣日耳曼	法甲	意大利	165	60	27	右脚	87	27	94	63	89	90	94	91	89	57	50	70	79	74	83	77	60	71	87	82	77	83	75	40	40	40	40	40	2	3	6	1	M. VERRATTI_中前卫_87
55	M. ICARDI	中锋		巴黎圣日耳曼	法甲	阿根廷	181	75	26	右脚	87	27	94	91	82	80	76	74	71	90	87	69	76	82	81	84	92	78	81	76	49	48	64	40	40	40	40	40	3	3	6	3	M. ICARDI_中锋_87
56	P. DYBALA	影锋		尤文图斯	意甲	阿根廷	177	75	26	左脚	87	27	94	85	89	88	89	84	81	85	65	86	88	80	86	85	68	66	91	79	49	52	62	40	40	40	40	40	2	2	5	2	P. DYBALA_影锋_87
57	SAÚL	中前卫		马德里竞技	西甲	西班牙	184	77	25	左脚	87	30	93	80	87	85	84	88	79	77	82	71	72	79	82	75	79	78	75	85	77	81	82	40	40	40	40	40	1	2	7	2	SAÚL_中前卫_87
58	ROBERTO FIRMINO	中锋		利物浦	英超	巴西	181	76	28	右脚	87	25	93	86	87	85	89	83	73	85	75	74	80	80	79	80	82	78	83	86	50	52	71	40	40	40	40	40	2	3	6	2	ROBERTO FIRMINO_中锋_87
59	F. DE JONG	中前卫		巴塞罗那	西甲	荷兰	180	68	22	右脚	87	38	95	77	86	85	88	89	87	67	74	70	71	81	83	74	78	72	80	84	71	75	78	40	40	40	40	40	3	3	6	2	F. DE JONG_中前卫_87
60	J. KIMMICH	后腰		拜仁慕尼黑	其它欧洲	德国	176	70	24	右脚	87	32	95	74	82	80	80	85	83	71	72	67	81	80	84	78	81	70	84	90	76	80	72	40	40	40	40	40	2	3	7	3	J. KIMMICH_后腰_87
61	M. ŠKRINIAR	中后卫			意甲	斯洛伐克	188	80	24	右脚	87	32	94	65	71	63	72	75	76	64	88	60	59	75	71	79	85	88	72	84	93	91	89	40	40	40	40	40	2	2	6	3	M. ŠKRINIAR_中后卫_87
62	FERNANDINHO	后腰		曼城	英超	巴西	179	67	34	右脚	86	23	92	67	83	73	82	83	85	68	74	60	65	76	71	84	85	80	83	86	89	92	93	40	40	40	40	40	2	3	7	2	FERNANDINHO_后腰_86
63	J. VERTONGHEN	中后卫		托特纳姆热刺	英超	比利时	189	86	32	左脚	86	25	91	70	77	72	70	82	83	65	86	73	63	71	71	84	83	83	65	80	90	89	90	40	40	40	40	40	2	2	6	2	J. VERTONGHEN_中后卫_86
64	MARCELO	左后卫		皇家马德里	西甲	巴西	174	80	31	左脚	86	25	92	84	88	85	87	84	83	76	67	75	86	83	85	82	71	71	83	77	71	79	82	40	40	40	40	40	1	1	6	1	MARCELO_左后卫_86
65	A. VIDAL	中前卫		巴塞罗那	西甲	智利	180	75	32	右脚	86	25	91	80	81	79	82	83	81	73	83	70	78	79	77	85	85	84	80	85	85	86	88	40	40	40	40	40	2	3	5	2	A. VIDAL_中前卫_86
66	E. DŽEKO	中锋		罗马	意甲	波黑	193	80	33	右脚	86	24	93	90	84	78	83	77	73	89	88	62	72	74	70	86	71	87	82	78	50	55	65	40	40	40	40	40	4	4	7	2	E. DŽEKO_中锋_86
67	DANI PAREJO	中前卫		瓦伦西亚	西甲	西班牙	182	73	30	右脚	86	26	92	73	89	80	90	93	89	84	61	92	82	68	72	77	67	73	71	78	67	67	74	40	40	40	40	40	3	3	7	1	DANI PAREJO_中前卫_86
68	T. ALDERWEIRELD	中后卫		托特纳姆热刺	英超	比利时	186	91	30	右脚	86	26	91	65	78	65	65	80	84	56	86	68	65	72	67	80	88	85	65	79	93	91	84	40	40	40	40	40	2	2	6	2	T. ALDERWEIRELD_中后卫_86
69	THIAGO SILVA	中后卫		巴黎圣日耳曼	法甲	巴西	183	79	35	右脚	86	21	91	63	76	70	78	82	83	60	87	64	66	75	71	77	91	85	74	73	90	90	85	40	40	40	40	40	2	3	6	1	THIAGO SILVA_中后卫_86
70	R. LUKAKU	中锋			意甲	比利时	190	94	26	左脚	86	28	93	86	75	80	74	75	77	86	86	70	80	88	81	87	84	94	73	83	50	50	86	40	40	40	40	40	2	3	6	2	R. LUKAKU_中锋_86
71	T. MÜLLER	影锋		拜仁慕尼黑	其它欧洲	德国	186	75	30	右脚	86	26	91	95	84	79	71	80	77	85	85	69	82	81	78	81	84	75	78	92	59	63	62	40	40	40	40	40	3	3	6	3	T. MÜLLER_影锋_86
72	W. SZCZĘSNY	门将		尤文图斯	意甲	波兰	195	90	29	右脚	86	25	91	50	62	61	54	64	66	50	70	60	58	64	64	76	81	84	63	63	50	53	50	92	90	90	93	92	2	2	5	2	W. SZCZĘSNY_门将_86
73	KOKE	中前卫		马德里竞技	西甲	西班牙	176	74	27	右脚	86	27	92	80	86	84	82	88	86	73	64	79	84	72	78	83	66	75	82	85	64	74	75	40	40	40	40	40	3	3	6	1	KOKE_中前卫_86
74	D. ALABA	左后卫		拜仁慕尼黑	其它欧洲	奥地利	180	76	27	左脚	86	27	93	72	86	83	81	87	85	69	69	85	84	87	85	80	80	62	74	87	75	82	67	40	40	40	40	40	1	3	6	2	D. ALABA_左后卫_86
75	J. RODRÍGUEZ	前腰		皇家马德里	西甲	哥伦比亚	180	75	28	左脚	86	26	92	83	88	85	87	88	89	85	68	86	84	74	80	87	63	71	80	74	55	51	58	40	40	40	40	40	1	2	6	1	J. RODRÍGUEZ_前腰_86
76	ISCO	前腰		皇家马德里	西甲	西班牙	176	79	27	右脚	86	27	92	78	92	95	89	85	84	77	60	75	85	73	79	76	62	62	88	78	50	50	66	40	40	40	40	40	2	2	4	1	ISCO_前腰_86
77	B. LENO	门将		阿森纳	英超	德国	189	82	27	右脚	86	27	90	40	60	46	52	64	60	41	60	60	41	65	64	82	83	78	59	60	47	45	48	93	90	88	95	93	2	3	6	3	B. LENO_门将_86
78	S. UMTITI	中后卫		巴塞罗那	西甲	法国	182	75	26	左脚	86	28	93	63	76	66	70	83	77	61	86	63	69	78	73	76	92	88	68	84	88	90	84	40	40	40	40	40	2	2	6	1	S. UMTITI_中后卫_86
79	MARQUINHOS	中后卫		巴黎圣日耳曼	法甲	巴西	183	75	25	右脚	86	31	93	62	79	76	78	80	81	59	85	62	76	84	80	74	90	83	81	80	86	87	86	40	40	40	40	40	2	2	6	3	MARQUINHOS_中后卫_86
80	L. INSIGNE	左边锋		那不勒斯	意甲	意大利	163	59	28	右脚	86	26	92	84	90	86	88	84	86	79	55	83	84	86	89	77	61	57	84	87	56	48	47	40	40	40	40	40	2	2	6	3	L. INSIGNE_左边锋_86
81	H. ZIYECH	前腰		阿贾克斯	荷甲	摩洛哥	183	68	26	左脚	86	28	92	79	84	83	86	84	90	77	65	83	85	80	81	83	70	71	81	82	64	68	79	40	40	40	40	40	2	2	6	3	H. ZIYECH_前腰_86
82	KEPA	门将		切尔西	英超	西班牙	186	85	25	右脚	86	31	91	45	60	45	50	60	62	41	60	60	55	58	61	75	81	71	62	60	49	48	58	91	93	90	96	95	2	3	5	2	KEPA_门将_86
83	A. LAPORTE	中后卫		曼城	英超	法国	191	86	25	左脚	86	31	92	61	75	67	65	79	79	56	88	69	67	74	70	77	86	86	65	83	90	90	86	40	40	40	40	40	1	2	7	3	A. LAPORTE_中后卫_86
84	JORGINHO	后腰		切尔西	英超	意大利	180	67	28	右脚	86	26	92	67	86	80	87	90	88	65	63	77	76	67	65	79	67	71	79	86	80	82	82	40	40	40	40	40	2	3	6	3	JORGINHO_后腰_86
85	S. GNABRY	右边锋		拜仁慕尼黑	其它欧洲	德国	175	75	24	右脚	86	32	94	80	86	88	85	81	75	79	67	72	81	87	93	81	74	75	87	80	50	55	60	40	40	40	40	40	2	3	6	2	S. GNABRY_右边锋_86
86	R. MAHREZ	右边锋		曼城	英超	阿尔及利亚	179	67	28	左脚	86	26	92	80	89	91	90	82	82	79	60	79	85	84	89	80	62	65	87	77	54	52	60	40	40	40	40	40	1	3	6	2	R. MAHREZ_右边锋_86
87	FABINHO	后腰		利物浦	英超	巴西	188	78	26	右脚	86	28	93	70	82	80	85	83	82	68	79	75	77	76	74	80	75	83	72	84	86	85	84	40	40	40	40	40	2	3	6	3	FABINHO_后腰_86
88	L. SANÉ	左边锋		曼城	英超	德国	183	75	23	左脚	86	34	94	82	84	87	86	77	80	80	70	81	80	96	92	85	63	70	86	78	44	42	51	40	40	40	40	40	2	2	5	1	L. SANÉ_左边锋_86
89	C. LENGLET	中后卫		巴塞罗那	西甲	法国	186	81	24	左脚	86	32	93	64	74	67	76	81	75	57	86	60	63	77	73	78	89	86	71	85	89	88	82	40	40	40	40	40	3	4	6	2	C. LENGLET_中后卫_86
90	H. MAGUIRE	中后卫		曼联	英超	英格兰	194	100	26	右脚	86	28	92	64	78	73	72	79	75	58	88	61	62	66	65	73	84	93	68	86	88	90	91	40	40	40	40	40	2	2	6	3	H. MAGUIRE_中后卫_86
91	S. M. SAVIĆ	中前卫		拉齐奥	意甲	塞尔维亚	192	82	24	右脚	86	32	93	79	92	79	83	85	82	78	88	77	80	77	73	86	81	87	70	80	65	70	80	40	40	40	40	40	3	3	4	2	S. M. SAVIĆ_中前卫_86
92	O. DEMBÉLÉ	左边锋		巴塞罗那	西甲	法国	178	67	22	右脚	86	38	94	81	88	88	86	79	72	78	60	73	83	91	93	80	64	65	85	76	51	52	74	40	40	40	40	40	4	4	6	1	O. DEMBÉLÉ_左边锋_86
93	M. DE LIGT	中后卫		尤文图斯	意甲	荷兰	188	89	20	右脚	86	47	96	68	77	73	75	79	78	64	87	60	63	77	73	82	89	87	70	81	88	88	81	40	40	40	40	40	3	3	6	2	M. DE LIGT_中后卫_86
94	T. WERNER	中锋		自由球员	自由球员	德国	180	75	23	右脚	86	34	94	87	77	85	75	72	65	84	79	74	68	92	95	79	86	76	87	89	59	58	62	40	40	40	40	40	2	3	6	3	T. WERNER_中锋_86
95	Z. IBRAHIMOVIĆ	中锋		AC米兰	意甲	瑞典	195	95	38	右脚	85	17	90	86	83	80	79	81	77	89	86	82	80	69	65	88	70	90	67	77	50	53	83	40	40	40	40	40	3	4	5	1	Z. IBRAHIMOVIĆ_中锋_85
96	B. MATUIDI	中前卫		尤文图斯	意甲	法国	180	75	32	左脚	85	25	89	74	78	78	77	83	80	73	73	63	76	79	81	78	83	77	78	93	86	85	86	40	40	40	40	40	2	2	6	3	B. MATUIDI_中前卫_85
97	L. BONUCCI	中后卫		尤文图斯	意甲	意大利	190	85	32	右脚	85	25	91	68	74	73	71	79	85	67	86	66	65	74	68	78	84	84	68	82	88	89	82	40	40	40	40	40	3	3	4	2	L. BONUCCI_中后卫_85
98	G. HIGUAÍN	中锋		尤文图斯	意甲	阿根廷	184	82	32	右脚	85	25	91	91	82	79	84	75	68	88	82	67	76	72	68	87	78	85	70	75	47	52	66	40	40	40	40	40	3	4	5	3	G. HIGUAÍN_中锋_85
99	JAVI MARTÍNEZ	后腰		拜仁慕尼黑	其它欧洲	西班牙	190	81	31	右脚	85	26	91	68	85	74	70	87	85	66	91	70	70	64	60	81	79	87	63	84	89	84	83	40	40	40	40	40	2	3	7	1	JAVI MARTÍNEZ_后腰_85
100	DAVID LUIZ	中后卫		阿森纳	英超	巴西	189	84	32	右脚	85	25	90	71	79	74	75	82	80	69	87	76	72	75	71	82	86	83	65	78	80	88	87	40	40	40	40	40	3	3	6	2	DAVID LUIZ_中后卫_85
101	AZPILICUETA	右后卫		切尔西	英超	西班牙	178	78	30	右脚	85	26	91	67	79	70	66	81	81	57	77	63	69	79	78	70	79	76	83	92	90	87	85	40	40	40	40	40	2	3	7	3	AZPILICUETA_右后卫_85
102	SOKRATIS	中后卫		阿森纳	英超	希腊	186	89	31	右脚	85	26	91	54	65	62	65	70	64	54	87	60	51	85	77	78	90	92	69	79	87	90	92	40	40	40	40	40	1	1	6	2	SOKRATIS_中后卫_85
103	A. SÁNCHEZ	左边锋			意甲	智利	169	62	31	右脚	85	26	91	81	85	86	84	76	76	79	72	79	80	82	87	84	85	72	88	81	54	50	77	40	40	40	40	40	1	2	4	2	A. SÁNCHEZ_左边锋_85
104	DIEGO COSTA	中锋		马德里竞技	西甲	西班牙	188	85	31	右脚	85	26	91	86	81	76	74	72	65	83	86	63	69	82	78	86	79	88	78	83	60	74	80	40	40	40	40	40	2	3	4	1	DIEGO COSTA_中锋_85
105	A. WITSEL	后腰		自由球员	自由球员	比利时	186	73	30	右脚	85	26	91	76	85	79	73	87	82	74	79	72	71	76	72	82	74	80	65	88	73	78	82	40	40	40	40	40	2	3	7	3	A. WITSEL_后腰_85
106	A. RAMSEY	中前卫		尤文图斯	意甲	威尔士	183	76	29	右脚	85	26	91	84	86	84	80	86	83	76	63	68	72	72	74	81	71	72	82	90	72	75	77	40	40	40	40	40	2	2	6	2	A. RAMSEY_中前卫_85
107	M. ÖZIL	前腰		阿森纳	英超	德国	180	71	31	左脚	85	26	91	84	92	86	84	90	86	74	61	79	84	74	81	70	63	66	90	76	54	50	60	40	40	40	40	40	1	1	3	2	M. ÖZIL_前腰_85
108	WILLIAN	右边锋		切尔西	英超	巴西	175	77	31	右脚	85	26	92	80	85	89	84	81	80	76	60	85	86	86	91	78	58	62	86	84	58	57	59	40	40	40	40	40	2	3	6	2	WILLIAN_右边锋_85
109	K. NAVAS	门将		巴黎圣日耳曼	法甲	哥斯达黎加	185	80	33	右脚	85	24	90	40	60	52	54	60	64	40	67	61	52	55	58	83	87	81	72	62	44	50	56	92	90	89	96	88	2	2	6	1	K. NAVAS_门将_85
110	D. MERTENS	中锋		那不勒斯	意甲	比利时	169	61	32	右脚	85	25	91	86	88	87	91	82	76	84	65	82	83	84	90	80	63	60	87	77	51	47	56	40	40	40	40	40	2	3	6	3	D. MERTENS_中锋_85
111	K. MANOLAS	中后卫		那不勒斯	意甲	希腊	189	83	28	右脚	85	27	92	57	66	64	68	66	68	58	87	60	60	84	82	75	87	86	72	85	90	90	87	40	40	40	40	40	2	2	6	2	K. MANOLAS_中后卫_85
112	J. BOATENG	中后卫		拜仁慕尼黑	其它欧洲	德国	192	90	31	右脚	85	26	91	60	74	68	65	78	81	55	90	60	61	76	70	80	84	91	64	74	86	92	85	40	40	40	40	40	3	3	4	1	J. BOATENG_中后卫_85
113	DOUGLAS COSTA	右边锋		尤文图斯	意甲	巴西	172	70	29	左脚	85	26	92	76	87	92	89	82	83	71	60	76	80	87	91	84	67	67	85	78	55	58	68	40	40	40	40	40	2	2	4	1	DOUGLAS COSTA_右边锋_85
114	S. DE VRIJ	中后卫			意甲	荷兰	189	78	27	右脚	85	28	92	66	75	73	78	76	76	60	87	62	63	75	73	79	85	87	67	81	90	89	88	40	40	40	40	40	3	3	6	3	S. DE VRIJ_中后卫_85
115	K. WALKER	右后卫		曼城	英超	英格兰	183	83	29	右脚	85	26	91	66	76	76	68	76	78	60	71	70	73	95	88	83	82	77	70	87	75	80	75	40	40	40	40	40	1	2	5	2	K. WALKER_右后卫_85
116	A. GÓMEZ	影锋		亚特兰大	意甲	阿根廷	165	68	31	右脚	85	26	91	80	85	88	85	82	83	77	54	83	85	81	91	83	62	60	88	75	48	50	70	40	40	40	40	40	4	4	6	3	A. GÓMEZ_影锋_85
